company_id,billing_month,industry,region,company_size,subscription_tier,contract_type,seats_purchased,active_users,support_tickets,feature_usage_score,account_health_score,tenure_months,mrr,churn,customer_status
CUST-00001,2024-01-01,Professional Services,Asia Pacific,Small Business,Silver,Annual,33,11,3,34,25,2,1400.53,0,Active
CUST-00001,2024-02-01,Professional Services,Asia Pacific,Small Business,Silver,Annual,33,12,8,36,21,3,1327.86,0,Active
CUST-00001,2024-03-01,Professional Services,Asia Pacific,Small Business,Silver,Annual,33,10,7,31,17,4,1333.83,1,Churned
CUST-00002,2024-01-01,Retail,North America,Enterprise,Silver,Annual,569,333,2,54,44,15,15303.86,0,Active
CUST-00002,2024-02-01,Retail,North America,Enterprise,Silver,Annual,569,302,4,49,37,16,13791.5,1,Churned
CUST-00003,2024-01-01,Healthcare,North America,Mid Market,Silver,Annual,120,72,1,50,43,9,4014.79,0,Active
CUST-00003,2024-02-01,Healthcare,North America,Mid Market,Silver,Annual,120,95,1,66,58,10,5351.57,0,Active
CUST-00003,2024-03-01,Healthcare,North America,Mid Market,Silver,Annual,120,104,3,72,61,11,5156.29,0,Active
CUST-00003,2024-04-01,Healthcare,North America,Mid Market,Silver,Annual,120,90,2,62,53,12,4879.02,0,Active
CUST-00003,2024-05-01,Healthcare,North America,Mid Market,Silver,Annual,120,85,0,59,53,13,4566.05,0,Active
CUST-00003,2024-06-01,Healthcare,North America,Mid Market,Silver,Annual,120,97,2,67,58,14,5523.99,0,Active
CUST-00003,2024-07-01,Healthcare,North America,Mid Market,Silver,Annual,120,87,0,60,54,15,4605.4,0,Active
CUST-00003,2024-08-01,Healthcare,North America,Mid Market,Silver,Annual,120,58,1,40,34,16,3296.52,0,Active
CUST-00003,2024-09-01,Healthcare,North America,Mid Market,Silver,Annual,120,81,2,56,48,17,4445.83,0,Active
CUST-00003,2024-10-01,Healthcare,North America,Mid Market,Silver,Annual,120,55,3,38,30,18,3255.47,0,Active
CUST-00003,2024-11-01,Healthcare,North America,Mid Market,Silver,Annual,120,78,1,54,47,19,4752.67,0,Active
CUST-00003,2024-12-01,Healthcare,North America,Mid Market,Silver,Annual,120,94,3,65,54,20,5159.36,0,Active
CUST-00003,2025-01-01,Healthcare,North America,Mid Market,Silver,Annual,120,92,1,64,56,21,4669.68,0,Active
CUST-00003,2025-02-01,Healthcare,North America,Mid Market,Silver,Annual,120,68,1,47,41,22,3888.24,0,Active
CUST-00003,2025-03-01,Healthcare,North America,Mid Market,Silver,Annual,120,90,1,62,54,23,5286.36,0,Active
CUST-00003,2025-04-01,Healthcare,North America,Mid Market,Silver,Annual,120,98,2,68,58,24,4964.3,0,Active
CUST-00003,2025-05-01,Healthcare,North America,Mid Market,Silver,Annual,120,74,2,51,43,25,4382.93,0,Active
CUST-00003,2025-06-01,Healthcare,North America,Mid Market,Silver,Annual,120,90,0,62,55,26,4682.01,0,Active
CUST-00004,2024-01-01,Retail,Europe,Small Business,Gold,Annual,27,12,4,67,46,2,3284.63,0,Active
CUST-00004,2024-02-01,Retail,Europe,Small Business,Gold,Annual,27,13,2,70,51,3,3107.28,0,Active
CUST-00004,2024-03-01,Retail,Europe,Small Business,Gold,Annual,27,14,6,75,50,4,3438.17,0,Active
CUST-00004,2024-04-01,Retail,Europe,Small Business,Gold,Annual,27,13,4,69,48,5,3462.04,0,Active
CUST-00004,2024-05-01,Retail,Europe,Small Business,Gold,Annual,27,12,6,67,44,6,3188.72,0,Active
CUST-00004,2024-06-01,Retail,Europe,Small Business,Gold,Annual,27,9,7,52,31,7,2823.57,0,Active
CUST-00004,2024-07-01,Retail,Europe,Small Business,Gold,Annual,27,15,9,79,50,8,3332.32,0,Active
CUST-00004,2024-08-01,Retail,Europe,Small Business,Gold,Annual,27,11,3,59,41,9,2852.01,0,Active
CUST-00004,2024-09-01,Retail,Europe,Small Business,Gold,Annual,27,11,3,62,43,10,3140.56,0,Active
CUST-00004,2024-10-01,Retail,Europe,Small Business,Gold,Annual,27,11,6,61,39,11,3049.93,1,Churned
CUST-00005,2024-01-01,Manufacturing,North America,Small Business,Bronze,Annual,10,2,1,41,28,1,332.24,0,Active
CUST-00005,2024-02-01,Manufacturing,North America,Small Business,Bronze,Annual,10,3,2,51,35,2,378.96,1,Churned
CUST-00006,2024-01-01,Education,North America,Small Business,Bronze,Monthly,71,32,2,43,34,12,1126.36,1,Churned
CUST-00007,2024-01-01,Education,Asia Pacific,Small Business,Bronze,Annual,67,33,6,54,37,5,1181.02,0,Active
CUST-00007,2024-02-01,Education,Asia Pacific,Small Business,Bronze,Annual,67,38,2,61,48,6,1204.79,0,Active
CUST-00007,2024-03-01,Education,Asia Pacific,Small Business,Bronze,Annual,67,29,2,47,36,7,1054.78,0,Active
CUST-00007,2024-04-01,Education,Asia Pacific,Small Business,Bronze,Annual,67,31,2,50,39,8,1150.1,1,Churned
CUST-00008,2024-01-01,Technology,Asia Pacific,Small Business,Bronze,Annual,73,22,10,32,14,3,903.79,0,Active
CUST-00008,2024-02-01,Technology,Asia Pacific,Small Business,Bronze,Annual,73,10,8,15,2,4,565.18,0,Active
CUST-00008,2024-03-01,Technology,Asia Pacific,Small Business,Bronze,Annual,73,27,5,38,26,5,919.31,0,Active
CUST-00008,2024-04-01,Technology,Asia Pacific,Small Business,Bronze,Annual,73,40,0,56,47,6,1213.49,0,Active
CUST-00008,2024-05-01,Technology,Asia Pacific,Small Business,Bronze,Annual,73,15,10,21,5,7,718.89,1,Churned
CUST-00009,2024-01-01,Healthcare,North America,Small Business,Silver,Annual,70,47,3,59,48,7,3192.81,0,Active
CUST-00009,2024-02-01,Healthcare,North America,Small Business,Silver,Annual,70,48,0,60,53,8,3086.37,0,Active
CUST-00009,2024-03-01,Healthcare,North America,Small Business,Silver,Annual,70,55,3,69,57,9,3420.53,0,Active
CUST-00009,2024-04-01,Healthcare,North America,Small Business,Silver,Annual,70,63,1,79,68,10,3647.36,0,Active
CUST-00009,2024-05-01,Healthcare,North America,Small Business,Silver,Annual,70,24,15,30,11,11,1829.95,0,Active
CUST-00009,2024-06-01,Healthcare,North America,Small Business,Silver,Annual,70,49,4,62,49,12,2992.43,0,Active
CUST-00009,2024-07-01,Healthcare,North America,Small Business,Silver,Annual,70,39,7,49,34,13,2633.99,0,Active
CUST-00009,2024-08-01,Healthcare,North America,Small Business,Silver,Annual,70,45,3,56,46,14,3005.3,0,Active
CUST-00009,2024-09-01,Healthcare,North America,Small Business,Silver,Annual,70,46,4,58,46,15,2924.14,0,Active
CUST-00009,2024-10-01,Healthcare,North America,Small Business,Silver,Annual,70,52,1,65,56,16,3162.54,0,Active
CUST-00009,2024-11-01,Healthcare,North America,Small Business,Silver,Annual,70,49,3,61,50,17,3245.92,0,Active
CUST-00009,2024-12-01,Healthcare,North America,Small Business,Silver,Annual,70,50,2,63,53,18,3028.16,0,Active
CUST-00009,2025-01-01,Healthcare,North America,Small Business,Silver,Annual,70,48,2,60,50,19,2932.78,0,Active
CUST-00009,2025-02-01,Healthcare,North America,Small Business,Silver,Annual,70,41,3,51,41,20,2609.85,1,Churned
CUST-00010,2024-01-01,Manufacturing,North America,Small Business,Bronze,Monthly,14,6,2,50,38,14,471.56,0,Active
CUST-00010,2024-02-01,Manufacturing,North America,Small Business,Bronze,Monthly,14,6,1,55,42,15,440.67,0,Active
CUST-00010,2024-03-01,Manufacturing,North America,Small Business,Bronze,Monthly,14,5,2,45,33,16,393.49,0,Active
CUST-00010,2024-04-01,Manufacturing,North America,Small Business,Bronze,Monthly,14,6,1,55,42,17,446.21,0,Active
CUST-00010,2024-05-01,Manufacturing,North America,Small Business,Bronze,Monthly,14,6,1,52,40,18,415.45,0,Active
CUST-00010,2024-06-01,Manufacturing,North America,Small Business,Bronze,Monthly,14,2,9,20,4,19,337.89,0,Active
CUST-00010,2024-07-01,Manufacturing,North America,Small Business,Bronze,Monthly,14,4,6,38,22,20,383.74,1,Churned
CUST-00011,2024-01-01,Healthcare,North America,Mid Market,Bronze,Annual,210,95,0,48,40,8,2878.33,0,Active
CUST-00011,2024-02-01,Healthcare,North America,Mid Market,Bronze,Annual,210,111,4,56,42,9,2929.9,0,Active
CUST-00011,2024-03-01,Healthcare,North America,Mid Market,Bronze,Annual,210,85,3,43,32,10,2427.37,0,Active
CUST-00011,2024-04-01,Healthcare,North America,Mid Market,Bronze,Annual,210,111,2,56,44,11,3098.91,0,Active
CUST-00011,2024-05-01,Healthcare,North America,Mid Market,Bronze,Annual,210,85,0,43,35,12,2276.28,0,Active
CUST-00011,2024-06-01,Healthcare,North America,Mid Market,Bronze,Annual,210,79,1,40,32,13,2402.66,0,Active
CUST-00011,2024-07-01,Healthcare,North America,Mid Market,Bronze,Annual,210,103,1,52,42,14,3071.17,0,Active
CUST-00011,2024-08-01,Healthcare,North America,Mid Market,Bronze,Annual,210,43,11,22,5,15,1422.03,0,Active
CUST-00011,2024-09-01,Healthcare,North America,Mid Market,Bronze,Annual,210,97,2,49,38,16,2738.89,1,Churned
CUST-00012,2024-01-01,Logistics,Asia Pacific,Small Business,Gold,Annual,51,28,7,82,54,15,4230.11,0,Active
CUST-00012,2024-02-01,Logistics,Asia Pacific,Small Business,Gold,Annual,51,21,5,62,41,16,3823.48,0,Active
